Topic,Count,Name,Representation,Representative_Docs
39,33,journalistiek_journalisten_nieuws_artikelen,"['journalistiek', 'journalisten', 'nieuws', 'artikelen', 'ai', 'medium', 'krant', 'mensen', 'informatie', 'channel']","['wereld chatgpt we helemaal voorbereid culturele spam procent alle informatie internet kunstmatige intelligentie gegenereerd aantal bedrijven inmiddels praktijk ondervonden betekent overspoeld nieuwe v', 'ai nieuwe assistent journalist robotjournalistiek steed medium experimenteren kunstmatige intelligentie ai loopt zweedse krant aftonbladet proef samenvattingen artikelen gemaakt behulp ai korte box st', 'schreef redacteur artikel robot opkomst chatgpt krijgt ruim aandacht krant software iedereen binnen kortste keren tekst laten maken rapport reclameboodschap schoolwerkstuk recept taalrobot levert teks']"
40,32,algoritmes_data_algoritmen_register,"['algoritmes', 'data', 'algoritmen', 'register', 'big', 'burger', 'gemeente', 'algoritme', 'toezicht', 'overheid']","['geef burger inzage algoritmes overheid gebruikt toezichthouder ondanks grote maatschappelijke zorgen gebruik kunstmatige intelligentie ai overheid weinig concreet toezicht iv verandering brengen beloo', 'overheden zien risico gebruik big data hoofd staatscomputer bepaalt jij fraudeur bent vandaag dag allesbehalve denkbeeldig scenario overheid maakt steed gebruik geautomatiseerde beslissingen basis gro', 'oordeel belangrijker big data interview timandra harkness big data beetje big brother weet waar bent waar bent vrienden gezond bent voorspellen zult kopen wanneer ziek slachtoffer criminaliteit zult c']"
41,32,nederland_economie_bedrijven_landen,"['nederland', 'economie', 'bedrijven', 'landen', 'nederlandse', 'schwarz', 'volberda', 'investeringen', 'we', 'wapenfeit']","['rapport nederland meest competitieve land europa moe geklaag nederland goed nieuws nieuwe global competitiveness report pagina waarin world economic forum wef concurrentiekracht landen meet keer rangl', 'lightraillijn groei aanjagen mag bijna kwart nederlandse economie uiterst succesvol bleef groei achter regio zoveel spelers samenwerking grond kwam verklaart rector magnificus tim hagen tu delft lijkt', 'revolutie bouw bouwen verbeelding bouw bloeit geld consumentenvertrouwen breed gedragen bouwagenda nederland tegelijkertijd enorme ambities klimaat energie grondstoffen alleen we vol inzetten kwalitei']"
42,32,deepfakes_video_deepfake_beelden,"['deepfakes', 'video', 'deepfake', 'beelden', 'porno', 'foto', 'deepfakeporno', 'seksueel', 'vrouwen', 'slachtoffer']","['facebook bindt strijd levensechte nepvideo facebook verbiedt blokkeert voortaan deepfakes video werkelijkheid laten zien echt doorgaan bedrijf maakt uitzondering video willen bedriegen bedoeld satire ', 'kijker crux deepfake porno misbruik deepfake pornografie snelst groeiende vormen misbruik gaat filmpjes afbeeldingen waarbij gezicht bekende vrouw bijvoorbeeld lichaam pornoactrice geplakt gebruik kun', 'praten overleden dierbare deepfake helpen kunstmatige intelligentie interview theo gevers hoogleraar computer vision universiteit amsterdam kwam kort vooral nieuws waarschuwingen gevaar deepfake deepf']"
43,29,bank_banken_ing_financiële,"['bank', 'banken', 'ing', 'financiële', 'revolut', 'fintech', 'klanten', 'abn', 'sector', 'amro']","['abn begin jaren zeventig kampte nederlandsche middenstandsbank nmb dalende inkomsten ondernemers consumenten enthousiaster nmb krijgen moest bank stoffig imago af plan inzetten relatiemanagement klant', 'kort kort partnertoets tijdelijke ondersteuning zelfstandigen tozo tegemoetkoming vaste lasten tvl ruimer zeggen organisaties ondernemers zelfstandigen oproepen kabinet waarin pleiten uitbreiding coro', 'bunq merk zoals tomtom oprichter ali niknam overnamepad marktwaarde miljard eur behoort bunq inmiddels grote europese internetbanken bedrijf serieus genomen ziet niknam voordeel waarom duurde lang jul']"
44,29,studenten_docenten_onderwijs_leerlingen,"['studenten', 'docenten', 'onderwijs', 'leerlingen', 'programmeren', 'leren', 'chatgpt', 'vaardigheden', 'opleidingen', 'scholen']","['informatici genoeg meeste willen onderwijs werken stuk vijftien leerlingen vwo elzendaalcollege boxmeer slenteren lokaal beeldschermen gaan formules ploppen scherm sommige scholieren bouwen zelfrijden', 'zorgen computer gaat leraar vervangen leerlingen groep openbare basisschool venen reeuwijk maken sommen chromebook interactieve rekenles ondersteund adaptieve lesprogramma snappet digibord direct zien', 'verbieden toestaan universiteiten hogescholen worstelen gebruik kunstmatige intelligentie studenten universiteiten hogescholen worstelen gebruik kunstmatige intelligentie studenten waarom urenlang bik']"
47,28,dnb_bunq_banken_witwassen,"['dnb', 'bunq', 'banken', 'witwassen', 'bank', 'toezichthouder', 'transacties', 'klanten', 'niknam', 'financiële']","['raak crimineel eerst portemonnee financiële onderwereld hoort rijtje thuis panama paper amsterdamse zuidas nederlandse belastingklimaat harde georganiseerde drugshandel antwoord horen allemaal rijtje ', 'witwasaanpak dnb schop vragen vragen opvallende uitspraak college beroep bedrijfsleven cbb online bank bunq gelijk gekregen zaak afwijzing nederlandsche bank dnb kunstmatige intelligentie zetten scree', 'banken speurennaar fraude wetswijziging sleepnet foute betalingen particulieren mogelijk maken wetswijziging sleepnet foute betalingen particulieren mogelijk maken vijf grote nederlandse banken straks']"
45,28,film_couture_herzog_marsigliese,"['film', 'couture', 'herzog', 'marsigliese', 'dior', 'chanel', 'uur', 'dance', 'personage', 'show']","['zien international film festival rotterdam eerst punkconcert eerst wild dansen terwijl net hebt laten knippen zoals bassist the clash angus schooljongen christchurch gaat wereld open anno kennismaakt ', 'danser mag gewoon excelleren recensies dans kiraly joeri producties tegenstelling choreografen week festival spring staan zie bespreking hiernaast allerlei soorten medium aanwenden verhaal vertellen b', 'gefopt franse boezem pikante foto franse staatssecretaris marlène schiappa cover playboy bewindsvrouw interview gegeven blootblad poseerde daarvoor licht voorovergebogen flink decolleté o la vlak voor']"
46,28,google_zoekmachine_alphabet_microsoft,"['google', 'zoekmachine', 'alphabet', 'microsoft', 'gemini', 'gebruikers', 'data', 'page', 'bedrijf', 'bing']","['google komt eigen versie chatgpt aanval microsoft concurrentiestrijd google lanceert woensdag nieuw model kunstmatige intelligentie bekendste model toe chatgpt openai google markt brengt eigen zeggen ', 'google begon jaar geleden tikfout zoekmachine hieperdepiep hoera google bestaat jaar jaar jaar dagen jaren bestaat verwarring echte verjaardag zoekmachine doorgaans feiten prima orde zit nou precies e', 'google zoekt vernieuwingen week organiseert werelds dominante zoekgigant jaarlijkse ontwikkelaarsconferentie google weer belooft interessante editie nieuwe technologieën name vlak kunstmatige intellig']"
49,27,privacy_avg_data_europese,"['privacy', 'avg', 'data', 'europese', 'gegevens', 'facebook', 'google', 'microklussers', 'advertenties', 'microklussen']","['privacy framing iedereen maakt gebruik online diensten facebook zoekmachines webwinkels debatten daarover gaat onze privacy woord fundamenteel mi probleem we kennen privacybegrip oude wereld privacysc', 'bedenk goed internet deelt google noemen mensen vinden belangrijk gegevens goed beschermd weinigen bereid echt instellingen duiken gisteren europese dag privacy waarop extra aandacht bescherming perso', 'onze privacy gebaat spookverhalen privacyspook waart weer rond mede danken theatergroep verleiders begin week wereld draait nogal vrij omgingen feiten aivd iedereen ongebruikelijke route werk rijdt vi']"
50,27,vrouwen_mannen_seks_homo,"['vrouwen', 'mannen', 'seks', 'homo', 'vrouw', 'kosinski', 'epstein', 'seksuele', 'we', 'man']","['unesco ai genereert seksistische teksten populaire kunstmatige intelligentie ai gestuurde programma zoals chatgpt produceren teksten vooroordelen vrouwen vertonen blijkt onderzoek onderwijs wetenschap', 'ai ziet vrouwen snel lustobjecten britse krant the guardian kwam week geleden onthulling werking getest beoordelen foto blijkt tool google microsoft vrouwenlichamen eerder lustobject zien mannenlicham', 'haan zon oproept men statistiek ontdekte ruilde causaliteit correlatie ging alleen statistisch verband tussen twee grootheden oorzakelijk verband causaliteit slechts ondersoort grote geheel onderzoek ']"
48,27,oekraïne_drone_oorlog_russische,"['oekraïne', 'drone', 'oorlog', 'russische', 'oekraïense', 'militaire', 'rusland', 'thales', 'wapens', 'russen']","['v bereid oekraïne patriot leveren officieel diverse amerikaanse medium melden basis anonieme bronnen washington oekraïne krijgt zeer geavanceerde waarmee steden elektriciteitscentrales verdedigen russ', 'men beslissen schieten vinden wij amerikaan gebouw neerhalen hoeft krijgsmacht gebouw slechts computerscherm zien voordat piloot groen licht krijgt nederlander daarentegen wachten waarnemer locatie oo', 'snelle opmars drone baart vredesactivisten zorgen internationale incidenten drone glimp vangen drastische veranderingen oorlogvoering moment doormaakt recent onlinefilmpje bekijken strijd regio zien a']"
51,25,arbeidsmarkt_arbeidsproductiviteit_werknemers_werkgevers,"['arbeidsmarkt', 'arbeidsproductiviteit', 'werknemers', 'werkgevers', 'productiviteit', 'economie', 'werken', 'productiviteitsgroei', 'nederland', 'sectoren']","['tandartsentekort komt kartel a l jaren komt nederland tandartsen tekort jaar werken volgens beroepsvereniging knmt één tandarts per nederlanders tekort kleiner geworden sind tandartsen bijgekomen terw', 'einde goedkope arbeid technologie economie redden technologie economie redden migratie woningmarkt zorg arbeidsmarkt infrastructuur lijkt nederland slot zitten opereren we grenzen we aankunnen terwijl', 'basisbaan gaat land verder helpen opinie jeroen gennep politiek econoom basisbaan uitkering vervangen vangnet verzorgingsstaat advies wetenschappelijke raad regeringsbeleid wrr gaat moderne variant me']"
52,24,drone_ballon_vliegen_lucht,"['drone', 'ballon', 'vliegen', 'lucht', 'delft', 'riemens', 'ballonnen', 'middendorp', 'zegt', 'oostrum']","['dansen zwerm drone prachtig twaalf blauwe lichtjes tijdens repetitie choreografie danser zweven wacht even wel lichtjes nee lampjes zoemen trouwens beetje blijken drone luchtvoertuigjes zelfstandig vl', 'software leert dronevliegen kunstmatige intelligentie massa s vanuit cloud kunstmatige intelligentie zorgt autonome drone amazon veilig vliegen helpt fraude opsporen leidt vanuit cloud karretjes bloem', 'holland innovatiehoop top satellieten kunstmatige alvleesklier wouter bergen den haag satellietbedrijf hiber ontwikkelaar nieuwe kunstmatige alvleeskliertechnologie inreda diabetic uitvinder nieuw pla']"
53,24,virtuele_avatar_metaverse_virtual,"['virtuele', 'avatar', 'metaverse', 'virtual', 'reality', 'vr', 'digitale', 'metaversum', 'bril', 'virtueel']","['restaurant toekomst weet ai allang gast eten avatar restaurantmanager sidney stijn kijkt beetje langs gasten heen hen geprojecteerd vanaf wand deur begroet are you ready to experience the future hospi', 'oog oog thorbecke anne frank willen we metaverse mark zuckerberg amerikaanse lex fridman spraken vorige week metaverse zover bijzonders zuckerberg spreekt graag metaverse bijzonder wel zuckerberg frid', 'werkvloer virtuele assistenten nemen onze frustraties weg gabi ouwerkerk amsterdam collega vraagt morgen tien uur ruimte conferentiekamer niemand antwoordt kun afspraak verzetten klinkt vanuit hoek bl']"
54,24,taal_translate_vertalers_vertalingen,"['taal', 'translate', 'vertalers', 'vertalingen', 'talen', 'vertalen', 'gebarentaal', 'vertaling', 'google', 'arabisch']","['verjaardag verjaardagen taal taalvragen vormen uitdaging taalkundige naslagwerken pasklaar antwoord vinden schrijven pasklare antwoorden vinden meervoudsvorm verschillende vragen gesteld ongetwijfeld ', 'gaan we viraal viral spreken we afkorting ai voorkeur taal duidelijk maken filmpje virus razendsnel verspreidt via internet zeggen viraal gaat viraal gaan vertaling engelse woordgroep going viral wel ', 'grappige fouten google translate verleden tijd franse zin vertalen woordenboek ouderwets haalt gewoon even google translate onbegrijpelijke nederlandse vertaling uitrolt blijkt woordenboek slecht idee']"
55,24,wapens_autonome_robot_killer,"['wapens', 'autonome', 'robot', 'killer', 'verbod', 'drone', 'autonoom', 'pax', 'wapensystemen', 'brief']","['lezersreacties lezers postbus aw amsterdam onze ondergang mening belangrijkste artikel augustus stond pagina betrof oproep ruim honderd vooraanstaande ondernemers gebied robotica kunstmatige intellige', 'gevaar vechtrobot robot nuttig gebruikt slagveld gevaarlijk wetenschappers mensenrechtenactivisten pleiten ban wapens tribune joelt hubo mensachtige robot makelij beklimt traag soepeltjes trap vier tr', 'protesten dodelijke robot google medewerkers google brief baa geprotesteerd medewerking bedrijf ontwikkeling wapensystemen gebruik maken kunstmatige intelligentie ruim werknemers vrezen informatie goo']"
57,23,algoritme_algoritmes_algoritmen_beslissingen,"['algoritme', 'algoritmes', 'algoritmen', 'beslissingen', 'fry', 'mensen', 'algoritmische', 'we', 'menselijke', 'fouten']","['algoritmen tonen menselijk tekort zegen virtuele assistente apple eerste instantie wel prostituees viagrawinkels vinden abortusklinieken dankzij ingebouwde raciale voorkeur concludeerde veelgebruikt a', 'autonomie staat steed druk we struikelen erover dagelijks leven bewust algoritmes precies invloed kunstmatige intelligentie onze natuurlijke slimheid gesprek sander klous specialist big data kpmg hoog', 'abstract algoritmes helemaal gewoon mensen opdragen kunstmatige intelligentie stel bent woont hattem zin hebt elke dag vier uur reizen opleiding apothekersassistent ga tante amsterdam wonen toevallig ']"
58,23,klm_vliegtuig_vliegtuigen_schiphol,"['klm', 'vliegtuig', 'vliegtuigen', 'schiphol', 'passagiers', 'rintel', 'vliegen', 'piloot', 'luchthaven', 'toestellen']","['vliegtuig piloot goed enorme besparing onderzoek reizigers vinden automatische piloot prima zolang menselijke verveling slaap valt lege cockpit gaat helemaal ver vliegindustrie piloten geld besparen m', 'onbemande straaljager getest verenigde staten amerikaanse luchtmacht testvlucht zeventien uur gemaakt gevechtsvliegtuig zichzelf bestuurde behulp kunstmatige intelligentie meldt darpa onderzoekscentru', 'turbulentie meteen petitie getekend nummer natuurlijk weinig ga teken absurd idee toekomst vluchten voeren één piloot verkeersvliegers voeren daarom actie orde plan kiem gesmoord technologie tweede pi']"
56,23,spelers_club_bal_voetbal,"['spelers', 'club', 'bal', 'voetbal', 'scisports', 'sport', 'wedstrijden', 'ajax', 'brouwer', 'wedstrijd']","['lijnrechter hoeft straks alleen roepen bevel ai sorana cirstea haalt tennisplezier alleen strijden hoogste niveau gaat mondiale nummer roemenië kwartfinalist roland garros mensen duizend wedstrijden b', 'anale kraaltjes vernuftig bedrog argeloos sport kijken weer lastiger schuld ligt nota bene edele denksport schaakwereld speculeert dagen bedrog via jawel anale kraaltjes genie magnus carlsen ermee bed', 'pa voetballer gaat nadenken gaat mi schrijver aldo houterman studeerde filosofie kunstmatige intelligentie doceert filosofie universiteit amsterdam hogeschool utrecht lid netwerk sportfilosofie waar g']"
59,22,stem_tinnitus_geluid_ridder,"['stem', 'tinnitus', 'geluid', 'ridder', 'whispp', 'via', 'starkey', 'castermans', 'serdijn', 'sawalich']","['gesprek voeren terwijl hoofd tip geeft kunstmatige intelligentie reportage luister eigen innerlijke stem beter doe hoor zeurt aanzet zorgen maken waarschuwt dingen zullen lukken citaat komt innerlijke', 'nepnieuws amerikaanse onderzoekers erin geslaagd technologie ontwikkelen waarmee iedereen kunt laten zeggen jij wilt juiste woorden mond leggen hoef druk oefenen technologie werkt basis kunstmatige in', 'the sound silence reportagetestkamers renault reportagetestkamers renault elektrische auto vragen aanpak betreft akoestiek trillingen vibraties radiogolven fabrikant renault gaf exclusief inkijkje kam']"
60,21,hacker_moerel_bedrijven_cybersecurity,"['hacker', 'moerel', 'bedrijven', 'cybersecurity', 'criminelen', 'website', 'cybersprint', 'phishing', 'ransomware', 'internet']","['tien jaar weten hacker moeten polderen geluid figuurzaag afstand horen lange tafel probeert tabitha vogelaar stuk harde schijf zagen deel mooi vindt ring maken makkelijk laat computeronderdeel alleen ', 'terrorist gepakt gezichtsherkenning rob savelberg berlijn spectaculaire arrestatie dertig jaar werk slechts enkele minuten kunstmatige intelligentie duitse politie mag omstreden speurmethode vanwege m', 'tno cyberveiligheid ai overlaten misschien wel zorgwekkender misschien wel vian schouten amsterdam banken cruciale nederlandse bedrijven moeten snel mogelijk cyberveiligheid volledig handen geven kuns']"
61,21,altman_openai_bestuur_sam,"['altman', 'openai', 'bestuur', 'sam', 'ontslag', 'topman', 'brockman', 'soros', 'microsoft', 'sutskever']","['strijd binnen openai beslecht ontslagen topman vijf dagen weer roer alweer terug slechts vijf dagen nadat sam altman ontslagen topman openai maker vrij revolutionaire programma chatgpt grote druk inve', 'bedrijfstop openai vecht elkaar tent rommelt top openai amerikaanse bedrijf achter schrijfsoftware chatgpt topman eruit gezet ongenoegen grootaandeelhouder microsoft achtergrond lijkt richtingenstrijd', 'microsoft lijft sam altman gaat slag microsoft amerikaan afgelopen vrijdag ontslagen directeur openai bedrijf achter razend populaire chatgpt bestuur gaf vertrouwen ophef leidde techwereld microsoft g']"
62,21,wapens_autonome_militaire_drone,"['wapens', 'autonome', 'militaire', 'drone', 'defensie', 'wapensystemen', 'ai', 'militairen', 'systemen', 'verdrag']","['ai buskruit ste eeuw innovatie eureka buskruit bedacht uitvinder vast ogen explosieve poeder dood verderf zorgen volgens chatgpt chatbot werkt kunstmatige intelligentie ai buskruit rond negende eeuw u', 'oorlog toekomst komt thuis vrijheid vanzelfsprekend vijand vreedzaam bestaan behoeft onderhoud beschermd daarvoor antwoorden nodig prangende vragen geval virus wereld kop zet wandelt mensheid braak te', 'gaat men oorlogen handen geven wapensystemen reaper nederlandse krijgsmacht aangeschaft zullen medio volledig operationeel reaper onbemand vliegtuig officieel slechts verkenning bedoeld bewapend wel b']"
63,20,cloud_microsoft_amazon_oracle,"['cloud', 'microsoft', 'amazon', 'oracle', 'google', 'bedrijven', 'data', 'clouddiensten', 'azure', 'mrd']","['europa alternatief cloud tegenwicht bieden amerikaanse aziatische dominantie tegenwicht bieden amerikaanse aziatische dominantie terwijl amerikaanse commerciële partijen google amazon microsoft cloud ', 'via cloud kruipt toeschouwer boord oracle zit race snelheid data geld wouter bergen san francisco spectaculaire nieuwe zeilrace combineert hobby s techmiljardair larry ellison technologie hard varen g', 'google slag cloud grootste internetbedrijf gaat strijd amazon rob goossens san francisco google minder afhankelijk richt daarom cloud begin jaar duidelijk google nadrukkelijker zakelijke markt begeven']"
64,20,chainalysis_cryptomunten_bitcoin_coinbase,"['chainalysis', 'cryptomunten', 'bitcoin', 'coinbase', 'worldcoin', 'bitcoins', 'gronager', 'criminelen', 'cryptomunt', 'cryptovaluta']","['worldcoin biedt cryptogeld ruil irisscan bijna tweeënhalf miljoen mensen wereldwijd gedaan diep zilverkleurige bol staren iris laten scannen iedereen meedoet krijgt omgerekend euro cryptomunten uitbet', 'bitcoinfraude broers kost miljarden theo besteman amsterdam diefstal bitcoins broers ameer raees cajee volgens lokale medium ruim miljard vermogen klanten gekaapt geldt grootste cryptodiefstal ooit ei', 'groei bitcoin vastgoed ondernemer tast digitaal netwerk markten af theo besteman den haag bitcoinbedrijven floreren toeleggen sparen maakt consumenten zulke alternatieven bekijken ondernemer nederhoed']"
65,19,datacenters_datacentra_datacenter_stroom,"['datacenters', 'datacentra', 'datacenter', 'stroom', 'dda', 'nederland', 'grove', 'apparatuur', 'amsterdam', 'huawei']","['ing dataverkeer zuiniger vreet energie computer tablet laptop mobiele telefoons smartphones datacentra telecomnetwerken goed procent stroomverbruik wereld techniek voortschrijdt apparatuur zuiniger aa', 'google zet datadoos neer kop amerikaanse techreus google staat erom bekend ieder plekje aarde vinden kennelijk gemeente holland kroon toe kop gaat bedrijf achter populaire zoekmachine datacentrum gron', 'nederland europees kampioen datacentra positie nederland knooppunt data groeit letterlijk figuurlijk wolken doordat we onze telefoons computer tablet massaal gebruikmaken diensten cloud staan steed ge']"
66,18,ai_sheikh_zelfrijdende_intelligentie,"['ai', 'sheikh', 'zelfrijdende', 'intelligentie', 'kunstmatige', 'wrr', 'afm', 'auto', 'dobbelaere', 'rapport']","['kunstmatige intelligentie maakt extra regels nodig ai g verdere ontwikkeling kunstmatige intelligentie ai maakt extra regelgeving noodzakelijk minister g groep zeven rijke landen bijvoorbeeld duitslan', 'iedereen stuur handen aansprakelijk rapport stuurt onderzoeksraad veiligheid cadeautje nijmeegse radboud universiteit net wervingscampagne begonnen waarin jonge academici opgeroepen melden recht toeko', 'ongekende tijdwinst onderhoud ai geautomatiseerde inspectie toont gebreken geautomatiseerde inspectie toont gebreken vian schouten amsterdam onderhoud onze civiele infrastructuur tijdrovend kostbaar p']"
67,18,advocaten_juridische_legal_advocaat,"['advocaten', 'juridische', 'legal', 'advocaat', 'kantoren', 'advocatuur', 'advocatenkantoren', 'legaltech', 'juristen', 'overy']","['slimme pc duikt cold case onbegonnen werk willen rechercheurs tien nederlandse coldcaseteams weten waar beginnen duizenden dossier kiezen krijgt schatting miljoen pagina rechercheurs krijgen hulpje ku', 'software weet judge graag hoort ravel law ravel law ontwikkelt profielen rechters gedrageconomie reportage rechtspraak data amerikaanse ravel law dochterbedrijf relx maakt digitale profielen rechters ', 'doet kunstmatig intelligente advocaat nou eigenlijk hele dag internationale race steed advocaten werken generatieve kunstmatige intelligentie bespaart tijd kosten belofte reden fd onderzoeken goed hyp']"
68,18,kandidaten_recruiter_cv_kandidaat,"['kandidaten', 'recruiter', 'cv', 'kandidaat', 'sollicitanten', 'oostrom', 'algoritme', 'akhlal', 'unilever', 'sollicitant']","['helaas onze computer vindt geschikte kandidaat grote bedrijven zetten computermodellen kandidaten werven selecteren data cv sollicitatiebrieven scannen sollicitanten computersystemen verwerkt daaraan ', 'kunt solliciteren recruiter vooroordeel kwam baan welke naam hadden dochter gegeven gesprek radioprogramma geld leven sloot af cliffhanger gast karim akhlal marokkaanse root twintiger lukte baantje ko', 'maagden stieren kans baan sollicitanten bizarre redenen afgewezen delen ervaring chinese sociale medium gebruikster populaire app xiaohongshu twee keer meegemaakt rare vragen kreeg tijdens sollicitati']"
69,17,ai_risico_sunak_bletchley,"['ai', 'risico', 'sunak', 'bletchley', 'britse', 'wetgeving', 'technologie', 'top', 'we', 'park']","['wereldleiders zoeken grip kunstmatige intelligentie britse landgoed bletchley park werden tijdens tweede wereldoorlog versleutelde duitse berichten ontcijferd symbolische plek komen week wereldleiders', 'we moeten snel elkaar gesprek ai kunstmatige intelligentie motto control ai lanceerden zeven nederlanders petitie tweede kamer risico ai echo oproep drie grote amerikaanse onheilsprofeten classificere', 'ai leidende rol krijgen verspreiden desinformatie mensen prima ai safety summit zullen prominente politici wetenschappers grootheden techwereld week elkaar komen praten kunstmatige intelligentie kriti']"
70,16,russische_volozj_yandex_aivd,"['russische', 'volozj', 'yandex', 'aivd', 'spionage', 'diplomaten', 'russen', 'rusland', 'sanctielijst', 'ambassade']","['russen betrapt spionage twee russische diplomaten nederland uitgezet vanwege spionage gevoelige wetenschappelijke technologische informatie hadden volgens algemene inlichtingen veiligheidsdienst aivd ', 'cyberaanval russen raakt nederland hacker houden redelijk gedeisd hacker houden redelijk gedeisd chris broesder haarlem rusland voert alleen oorlog oekraïense grondgebied online donderdag waarschuwde ', 'spionage snel strafwet kabinet maakt haast kabinet maakt haast onze verslaggevers den haag spionage snel strafbaar kabinet andermaal blijkt nederland ten prooi valt russische twee diplomaten russische']"
71,16,musk_tesla_spacex_elon,"['musk', 'tesla', 'spacex', 'elon', 'aarde', 'mar', 'raket', 'isaacson', 'cooijmans', 'ruimtevaart']","['obama binnen twintig jaar mensen mar sturen ruimtevaart binnen twintig jaar men voet mar zetten nederzetting bouwen amerikaanse overheid dergelijke missy samenwerking bedrijfsleven financieel elkaar k', 'multimiljardair misplaatst messiascomplex elon musk natuurkracht zegt reid hoffman musk kompanen vroege internetjaren verbaast musk miljoenen binnensleepte verkoop bedrijf paypal investeerde schijnbaa', 'tesla musketeer betaalt beleggen interview leonardo da vinci onze tijd typering elon musk waar fan wel vinden brein achter tesla elektrische auto spacex commerciële ruimtevaart paypal online betalen s']"
72,15,politie_plas_criminelen_gegevens,"['politie', 'plas', 'criminelen', 'gegevens', 'criminaliteit', 'cybercrime', 'aangifte', 'wolfert', 'aangiftes', 'cold']","['politie krijgt hulp artificiële hersenkracht heel fijn recherche computer telefoons verdachte beslag genomen zegt verdachte parijs tijdens misdaad gewone rechercheur wel zien man eiffeltoren staat all', 'slim tno helpt speurders wetenschappers ondersteunen politie nieuwste technieken wetenschappers ondersteunen politie nieuwste technieken gevecht steed sluwer opererende beter uitgeruste criminelen pol', 'ouderen tillenzonder wroeging plaats supermarkt vakken vullen kiest aantal jongeren digitaal zakkenvullen plaats supermarkt vakken vullen kiest aantal jongeren digitaal geld dure horloges designerkled']"
73,15,chinese_china_universiteiten_campus,"['chinese', 'china', 'universiteiten', 'campus', 'boekhoorn', 'samenwerking', 'jorritsma', 'studenten', 'nederlandse', 'onderzoek']","['pa chinezen kamer controle wetenschappelijke samenwerking kamer controle wetenschappelijke samenwerking tweede kamer controle wetenschappelijke samenwerking china voorkomen land spioneert intellectuee', 'nederland inzien china wetenschap gebruikt geopolitieke doelen chinese onderzoekers technologie belangrijkste arena geopolitieke strijd zei chinese president xi jinping nederland komt koninklijke nede', 'student betaalt prijs wantrouwend hoger onderwijs commentaar cameratoezicht anderhalf jaar geleden schreef garrie pinxteren alarmerend stuk china universiteiten maakten grote schaal gebruik camera gez']"
74,15,loznitsa_hoofddoek_facebook_ressa,"['loznitsa', 'hoofddoek', 'facebook', 'ressa', 'regime', 'vrouwen', 'hamas', 'cvz', 'russische', 'klette']","['voorwoord oekraïense kinderen metrostation leven le krijgen daglicht russische medium alle ruimte verliezen kritische werk voortdurende oorlog tussen rusland oekraïne onontkoombaar aanwezig tijdens ze', 'gruwelen oekraïne mensheid voorbij documentaire recensie gelooft ogen juli oekraïense stad lviv bezet duitse troepen doden elkaar gestapeld mensen stokken geslagen vrouw haren straat gesleurd menigte ', 'internet koevoet doden onderzoeksjournalist mikael blomkvist moeilijk gaat goed tijdschrift millennium waar jaren ziel zaligheid geeft nieuwe eigenaren willen populairdere weg inslaat bovendien slacht']"
75,14,poolwervel_muon_satellieten_aarde,"['poolwervel', 'muon', 'satellieten', 'aarde', 'meteorieten', 'satelliet', 'methaan', 'noordpool', 'sark', 'hyperscout']","['gouden combinatie satelliet ai speuren methaan nederlandse onderzoekers behulp kunstmatige intelligentie ai methaanlekken beter opsporen dichten lekken helpt strijd klimaatverandering toe maakten knmi', 'wolkencamera voorkomen elke minuut krijgt nederland z zonnepanelen stroomnetwerk piept kraakt ervan uitvoering klimaatakkoord beginnen daarom houdt wilfried sark vandaag opvallend pleidooi benoeming h', 'klimaat weer beter voorspellen hulp ai samenwerking ibm nasa samenwerking ibm nasa weersomstandigheden klimaatverandering verder tevoren beter voorspellen hopen technologiebedrijf ibm amerikaanse ruim']"
76,14,smartphone_lens_telefoon_wouter,"['smartphone', 'lens', 'telefoon', 'wouter', 'mobieltjes', 'google', 'pixel', 'leerlingen', 'iphone', 'verbod']","['hannah binsbergen dichter nooit smartphone aangeschaft technische snufjes sowieso interesse denk ouderen vinden techniek weten daarnaast vind ongemakkelijk we steed technologie leven waarvan we idee w', 'mobieltje verbieden nee juist verplichten docent geschiedenis fiddelaar pleit verbod mobieltjes klas opinie maart leiden leerlingen af lessen gaan slechter concentratie vermindert gezonde integratie m', 'slimme telefoon reddend hulpmiddel decennium geleden mobiele telefoon intrede deed gezien inderdaad mobiele versie vaste telefoon inmiddels bellen laatste dingen mobieltje doet apparaat geworden naast']"
77,14,hawking_andringa_wilczek_natuurkunde,"['hawking', 'andringa', 'wilczek', 'natuurkunde', 'boek', 'stephen', 'wetenschap', 'heelal', 'generalisten', 'zwarte']","['men patroonzoekend dier moderne wetenschap geboren natuurkunde zeventiende eeuw europa bloei kwam zin zitten drie onwaarheden wortels moderne wetenschap gaan verder terug zeventiende eeuw strekken ver', 'logisch einde column wetten universum bepaalden stephen hawking natuurkundige oneindig geloof logische verklaring woensdag maart overleed god toeval logica zorgde ervoor gedurende leven uitgroeide ber', 'docent denken hielp complottheorieën studenten university college groningen noemen gewoon voornaam kijken flink herinnert hanne oldenhof goed slimme kritische man zeker begin indruk wetenschappelijke ']"
